unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume USD,tradecount
1609146000,2020-12-28 09:00:00,LINK/USD,12.58873,12.63998,12.40553,12.48648,12.54106,23463.50091255,292976.5348745373,256
1609142400,2020-12-28 08:00:00,LINK/USD,12.51410,12.64259,12.36243,12.61169,12.52085,27601.28153302,348098.80629717297,326
1609138800,2020-12-28 07:00:00,LINK/USD,12.20465,12.64543,12.20465,12.53568,12.50073,69440.82615530,870487.9756184712,568
1609135200,2020-12-28 06:00:00,LINK/USD,12.23439,12.23439,12.07143,12.20803,12.11992,8696.62632756,106168.67510564231,125
1609131600,2020-12-28 05:00:00,LINK/USD,12.04007,12.25007,12.02639,12.23500,12.18358,35969.90567671,440091.7959545468,279
1609128000,2020-12-28 04:00:00,LINK/USD,12.20648,12.28749,12.02972,12.02972,12.16610,15778.51417254,189811.10751168788,212
1609124400,2020-12-28 03:00:00,LINK/USD,12.20141,12.30000,12.15284,12.24944,12.24950,11565.69787095,141673.32212832978,185
1609120800,2020-12-28 02:00:00,LINK/USD,12.15393,12.29000,12.13532,12.17800,12.18795,26371.74735462,321155.1392845624,276
1609117200,2020-12-28 01:00:00,LINK/USD,12.25001,12.38485,12.10723,12.15397,12.33967,34579.04570922,420272.6841784886,322
1609113600,2020-12-28 00:00:00,LINK/USD,12.13074,12.49500,11.96000,12.25064,12.27985,42218.81129957,517207.45845896425,551
1609110000,2020-12-27 23:00:00,LINK/USD,12.24102,12.61765,12.07406,12.12851,12.33400,135226.88165159,1640100.5863801257,621
1609106400,2020-12-27 22:00:00,LINK/USD,12.21886,12.26501,12.07275,12.24108,12.15997,26592.00810060,325514.89852009265,382
1609102800,2020-12-27 21:00:00,LINK/USD,11.87373,12.27694,11.83001,12.20514,12.07765,68392.87412587,834744.603708621,708
1609099200,2020-12-27 20:00:00,LINK/USD,12.70839,12.70839,11.75358,11.81423,12.05470,172304.64290013,2035646.681290003,1133
1609095600,2020-12-27 19:00:00,LINK/USD,12.43105,12.71990,12.43105,12.71800,12.58365,24590.44998322,312741.34288659197,397
1609092000,2020-12-27 18:00:00,LINK/USD,12.61138,12.73921,12.30836,12.42913,12.49362,33477.13369310,416091.64669892,438
1609088400,2020-12-27 17:00:00,LINK/USD,12.60753,12.74077,12.27000,12.60500,12.51422,31069.17726640,391626.979442972,625
1609084800,2020-12-27 16:00:00,LINK/USD,12.88916,13.20839,12.38880,12.59554,12.71572,191244.25293813,2408824.637652334,1851
1609081200,2020-12-27 15:00:00,LINK/USD,12.25000,12.89000,12.19809,12.88915,12.59449,203206.59371713,2619160.2674091463,1797
1609077600,2020-12-27 14:00:00,LINK/USD,10.92127,12.23930,10.92127,12.20471,11.63603,205440.91885228,2507346.8367256103,1389
1609074000,2020-12-27 13:00:00,LINK/USD,10.66289,10.92390,10.60599,10.92127,10.71211,11155.20688415,121829.02628766088,120
1609070400,2020-12-27 12:00:00,LINK/USD,10.62816,10.67469,10.46893,10.65796,10.57595,26137.83317119,278575.98042521614,234
1609066800,2020-12-27 11:00:00,LINK/USD,10.89778,10.92796,10.47065,10.66373,10.65251,87121.36314012,929038.6937581918,629
1609063200,2020-12-27 10:00:00,LINK/USD,10.89147,10.91739,10.83019,10.91000,10.88976,7766.87991323,84736.6598533393,76
1609059600,2020-12-27 09:00:00,LINK/USD,10.83300,10.95211,10.79000,10.89522,10.89589,14778.85588829,161018.88625121498,152
1609056000,2020-12-27 08:00:00,LINK/USD,11.11810,11.13414,10.83860,10.83860,11.02289,18283.16450103,198163.90676086376,247
1609052400,2020-12-27 07:00:00,LINK/USD,11.16725,11.21290,11.10001,11.11706,11.16539,20826.73418827,231532.05357504886,264
1609048800,2020-12-27 06:00:00,LINK/USD,11.14448,11.33000,11.14448,11.17263,11.25982,75389.31491782,842296.9215302832,394
1609045200,2020-12-27 05:00:00,LINK/USD,11.06002,11.19449,11.06002,11.14448,11.16898,21841.15304029,243408.2932344511,175
1609041600,2020-12-27 04:00:00,LINK/USD,11.12732,11.15208,11.05615,11.06000,11.11825,23847.02782460,263748.12774007604,212
1609038000,2020-12-27 03:00:00,LINK/USD,11.12931,11.20953,11.06553,11.12731,11.10768,14644.26229905,162951.24632284205,167
1609034400,2020-12-27 02:00:00,LINK/USD,11.01591,11.32876,11.01007,11.12682,11.20612,23282.45675536,259059.70547467476,313
1609030800,2020-12-27 01:00:00,LINK/USD,10.89866,11.08882,10.88845,11.04436,11.00302,31819.40119032,351424.9217303226,316
1609027200,2020-12-27 00:00:00,LINK/USD,10.97359,11.07000,10.85259,10.89970,10.95559,23819.37199762,259624.0089624587,279
1609023600,2020-12-26 23:00:00,LINK/USD,10.79001,11.03930,10.79001,10.97360,10.90865,18427.85354223,202219.89363101512,300
1609020000,2020-12-26 22:00:00,LINK/USD,10.97973,10.98391,10.61693,10.79505,10.77601,20752.25610922,224021.64231183537,357
1609016400,2020-12-26 21:00:00,LINK/USD,10.89085,11.06281,10.87971,11.01307,10.93615,23273.74011623,256315.32906184916,344
1609012800,2020-12-26 20:00:00,LINK/USD,10.92387,11.02564,10.85202,10.89998,10.93982,10319.89069656,112486.60219469006,249
1609009200,2020-12-26 19:00:00,LINK/USD,10.95544,11.03571,10.90000,10.90962,10.97918,6290.51322562,68627.10889648847,118
1609005600,2020-12-26 18:00:00,LINK/USD,10.99625,11.11118,10.96005,10.97191,11.03259,12256.91396279,134481.7568774752,202
1609002000,2020-12-26 17:00:00,LINK/USD,11.34905,11.35551,10.91155,10.99456,11.10713,50466.02441288,554851.733368874,495
1608998400,2020-12-26 16:00:00,LINK/USD,10.85175,11.37583,10.71022,11.32455,11.13062,79548.35027217,900849.2700747029,962
1608994800,2020-12-26 15:00:00,LINK/USD,11.00942,11.00942,10.79002,10.84841,10.92196,20533.07839804,222751.25302408112,253
1608991200,2020-12-26 14:00:00,LINK/USD,10.91728,11.13794,10.82011,11.03120,10.99325,52880.12100351,583331.1908139195,436
1608987600,2020-12-26 13:00:00,LINK/USD,10.98506,11.02558,10.84024,10.90326,10.90670,25738.61319610,280634.79171650927,221
1608984000,2020-12-26 12:00:00,LINK/USD,10.99363,11.06019,10.81001,10.98146,10.91840,25999.92715600,285517.1600665278,273
1608980400,2020-12-26 11:00:00,LINK/USD,11.10265,11.13670,10.65163,10.99796,10.86798,38627.40389738,424822.64296722936,430
1608976800,2020-12-26 10:00:00,LINK/USD,11.23774,11.26002,10.91444,11.08250,11.09002,24571.04823254,272308.64203712455,292
1608973200,2020-12-26 09:00:00,LINK/USD,11.47001,11.47001,11.17631,11.23458,11.26155,22490.66704279,252673.19814558764,219
1608969600,2020-12-26 08:00:00,LINK/USD,11.47782,11.56256,11.47782,11.48891,11.51242,6470.85223629,74343.03896603455,67
1608966000,2020-12-26 07:00:00,LINK/USD,11.53244,11.53244,11.38785,11.47000,11.45412,12358.01579945,141746.4412196915,139
1608962400,2020-12-26 06:00:00,LINK/USD,11.57876,11.61300,11.46010,11.54904,11.54315,15822.27094710,182732.04005889577,155
1608958800,2020-12-26 05:00:00,LINK/USD,11.63822,11.63822,11.58146,11.59533,11.61129,5065.22922738,58733.00441711614,41
1608955200,2020-12-26 04:00:00,LINK/USD,11.58058,11.80199,11.57094,11.65528,11.70175,16792.80059456,195724.7929137633,259
1608951600,2020-12-26 03:00:00,LINK/USD,11.52797,11.62707,11.52797,11.58846,11.59066,9044.73985692,104814.60604232314,122
1608948000,2020-12-26 02:00:00,LINK/USD,11.64231,11.65939,11.52796,11.52796,11.58578,11640.55275683,134191.82655862597,49
1608944400,2020-12-26 01:00:00,LINK/USD,11.61945,11.64001,11.50419,11.64001,11.55791,12136.57610905,141269.86727510308,83
1608940800,2020-12-26 00:00:00,LINK/USD,11.54751,11.65602,11.54226,11.63392,11.59519,14403.08384860,167564.3252479045,144
1608937200,2020-12-25 23:00:00,LINK/USD,11.52690,11.66673,11.46000,11.54150,11.53129,31702.46486386,365893.99822624016,224
1608933600,2020-12-25 22:00:00,LINK/USD,11.46473,11.57927,11.41866,11.57630,11.49201,21984.42931160,254498.3490398751,146
1608930000,2020-12-25 21:00:00,LINK/USD,11.51432,11.55649,11.42708,11.46476,11.47432,15459.04331079,177234.22138781278,132
