unix,date,symbol,open,high,low,close,vwap,Volume XMR,Volume USD,tradecount
1600905600,2020-09-24 00:00:00,XMR/USD,86.85,92.22,86.85,91.93,90.50,4980.43801668,457851.6668733925,730
1600819200,2020-09-23 00:00:00,XMR/USD,92.52,94.00,86.40,87.10,90.08,4430.71254729,385915.062868959,810
1600732800,2020-09-22 00:00:00,XMR/USD,89.00,96.44,87.51,92.56,92.62,5149.68286506,476654.6459899536,1225
1600646400,2020-09-21 00:00:00,XMR/USD,92.28,94.48,85.65,89.20,89.89,5925.62700688,528565.929013696,1168
1600560000,2020-09-20 00:00:00,XMR/USD,94.37,94.65,90.53,92.75,92.87,3470.91053628,321926.95223997004,519
1600473600,2020-09-19 00:00:00,XMR/USD,92.50,95.27,91.44,94.45,94.11,1564.61991594,147778.35106053302,485
1600387200,2020-09-18 00:00:00,XMR/USD,92.90,95.00,91.10,92.39,92.61,4627.47277359,427532.2095519801,827
1600300800,2020-09-17 00:00:00,XMR/USD,88.36,93.84,87.78,92.76,91.84,6900.77378893,640115.7766611468,1009
1600214400,2020-09-16 00:00:00,XMR/USD,91.10,92.66,87.20,88.19,89.86,3032.95777634,267476.5462954246,549
1600128000,2020-09-15 00:00:00,XMR/USD,91.78,92.85,88.28,91.15,91.00,4271.51151347,389348.2744527905,894
1600041600,2020-09-14 00:00:00,XMR/USD,85.88,92.34,84.31,91.77,88.68,6936.36216006,636549.9554287061,981
1599955200,2020-09-13 00:00:00,XMR/USD,86.34,89.88,85.28,86.11,86.99,4351.40929464,374699.85436145036,707
1599868800,2020-09-12 00:00:00,XMR/USD,84.20,87.11,83.08,86.58,85.71,2973.06702860,257408.143336188,556
1599782400,2020-09-11 00:00:00,XMR/USD,85.72,85.72,83.00,84.05,84.05,1846.04879039,155160.4008322795,397
1599696000,2020-09-10 00:00:00,XMR/USD,84.58,86.45,83.89,85.57,84.99,3591.27252189,307305.1896981273,494
1599609600,2020-09-09 00:00:00,XMR/USD,84.08,85.83,82.33,84.16,84.51,4600.92643312,387213.9686113792,630
1599523200,2020-09-08 00:00:00,XMR/USD,82.70,84.50,78.91,84.06,81.95,4806.25175493,404013.5225194158,830
1599436800,2020-09-07 00:00:00,XMR/USD,80.53,82.97,76.68,82.46,78.53,2244.35742704,185069.7134337184,587
1599350400,2020-09-06 00:00:00,XMR/USD,78.00,81.19,75.41,80.19,79.10,1868.89507888,149866.6963753872,421
1599264000,2020-09-05 00:00:00,XMR/USD,82.46,83.45,74.10,77.53,77.08,6322.94026741,490217.55893229734,1070
1599177600,2020-09-04 00:00:00,XMR/USD,77.76,83.48,77.00,82.06,80.54,6496.88310035,533134.227214721,916
1599091200,2020-09-03 00:00:00,XMR/USD,91.15,91.71,75.11,77.74,83.83,7026.24776198,546220.5010163252,1562
1599004800,2020-09-02 00:00:00,XMR/USD,96.96,97.49,88.29,91.27,91.32,4711.20507145,429991.6868712415,1035
1598918400,2020-09-01 00:00:00,XMR/USD,93.31,97.65,91.37,96.94,95.94,5618.11004100,544619.5873745399,1103
1598832000,2020-08-31 00:00:00,XMR/USD,96.30,96.68,93.16,93.33,94.51,2379.89164867,222115.2875703711,639
1598745600,2020-08-30 00:00:00,XMR/USD,92.69,96.40,92.69,96.27,94.68,2820.86663369,271564.8308253363,611
1598659200,2020-08-29 00:00:00,XMR/USD,94.55,95.67,92.35,92.60,94.51,1764.90178296,163429.905102096,503
1598572800,2020-08-28 00:00:00,XMR/USD,89.30,95.47,88.79,94.59,91.40,4960.60120830,469223.268293097,855
1598486400,2020-08-27 00:00:00,XMR/USD,89.07,90.64,85.98,89.71,88.62,4300.99219239,385842.0095793069,601
1598400000,2020-08-26 00:00:00,XMR/USD,88.56,89.68,87.45,88.93,88.91,4467.78231082,397319.88090122264,769
1598313600,2020-08-25 00:00:00,XMR/USD,94.06,94.14,86.00,88.56,89.50,6641.02671634,588129.3259990704,1184
