unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume USD,tradecount
1606262400,2020-11-25 00:00:00,LINK/USD,15.67506,15.87896,13.82000,14.25132,15.03577,705010.05854431,10047323.947533697,8566
1606176000,2020-11-24 00:00:00,LINK/USD,15.29713,16.38713,14.97167,15.66634,15.65981,1107232.87308564,17346286.648936484,13457
1606089600,2020-11-23 00:00:00,LINK/USD,14.52156,15.42000,14.25826,15.27313,14.89152,845589.40689679,12914796.938157571,9020
1606003200,2020-11-22 00:00:00,LINK/USD,15.46476,15.74782,13.71492,14.51327,14.79203,928195.74330703,13471155.435465619,9795
1605916800,2020-11-21 00:00:00,LINK/USD,14.08547,15.50000,13.70001,15.49030,14.61407,943101.64135995,14608927.355158033,9866
1605830400,2020-11-20 00:00:00,LINK/USD,13.61468,14.47000,13.48501,14.10708,14.08544,731743.79839426,10322768.303451696,6075
1605744000,2020-11-19 00:00:00,LINK/USD,13.58376,13.98000,13.01419,13.63115,13.57427,722830.35477605,9853008.990505554,5638
1605657600,2020-11-18 00:00:00,LINK/USD,13.39997,14.27130,12.42789,13.57686,13.51089,1609596.36477781,21853264.50109726,12500
1605571200,2020-11-17 00:00:00,LINK/USD,12.63000,13.42730,12.57000,13.38915,12.95896,831863.96123784,11137951.356607625,6540
1605484800,2020-11-16 00:00:00,LINK/USD,12.07372,12.81000,12.01248,12.64550,12.47006,411165.97979044,5199399.397440009,3242
1605398400,2020-11-15 00:00:00,LINK/USD,12.53308,12.63886,11.83000,12.13596,12.19348,367009.92292334,4454017.744200737,2827
1605312000,2020-11-14 00:00:00,LINK/USD,12.89035,12.93268,12.36300,12.59200,12.59803,307937.29388899,3877546.4046501624,2637
1605225600,2020-11-13 00:00:00,LINK/USD,12.41525,13.02549,12.33290,12.88725,12.76018,473290.51817259,6099413.23031971,3442
1605139200,2020-11-12 00:00:00,LINK/USD,12.78013,13.10351,12.25658,12.41710,12.60296,735735.13079679,9135696.69261682,5589
1605052800,2020-11-11 00:00:00,LINK/USD,13.02359,13.43551,12.80000,12.80000,13.10866,851308.20009006,10896744.96115277,6675
1604966400,2020-11-10 00:00:00,LINK/USD,12.50064,13.28000,12.35000,13.04191,12.91334,860665.05264908,11224716.156794563,7062
1604880000,2020-11-09 00:00:00,LINK/USD,12.71498,13.04125,12.08000,12.51124,12.51125,826855.17100199,10344983.489646938,6763
1604793600,2020-11-08 00:00:00,LINK/USD,11.76156,13.12998,11.51000,12.72691,12.51731,885484.31004879,11269479.120403046,6872
1604707200,2020-11-07 00:00:00,LINK/USD,12.19234,13.59997,11.50000,11.75221,12.57088,2070877.36717025,24337385.703231882,16730
1604620800,2020-11-06 00:00:00,LINK/USD,10.99568,12.30000,10.94345,12.18555,11.62776,940872.80511043,11465052.610313399,6922
1604534400,2020-11-05 00:00:00,LINK/USD,10.50000,11.26600,10.10000,10.99999,10.69892,1010956.50980804,11120511.498323342,5904
1604448000,2020-11-04 00:00:00,LINK/USD,10.39038,10.68698,9.78000,10.47889,10.31977,730738.56367763,7657329.027535881,4448
1604361600,2020-11-03 00:00:00,LINK/USD,10.79000,10.79000,10.03000,10.39856,10.38887,677817.67187633,7048327.73006633,5300
1604275200,2020-11-02 00:00:00,LINK/USD,11.59058,11.69998,10.72000,10.79000,11.11299,648280.98964552,6994951.87827516,4626
1604188800,2020-11-01 00:00:00,LINK/USD,11.20298,11.59781,11.03099,11.57003,11.25102,282758.88572346,3271528.790587004,2202
1604102400,2020-10-31 00:00:00,LINK/USD,11.09632,11.38870,10.92794,11.23619,11.20561,296830.57387493,3335244.7258677497,2282
1604016000,2020-10-30 00:00:00,LINK/USD,11.27561,11.49493,10.77008,11.09001,11.06419,554590.32018856,6150412.196794333,4266
1603929600,2020-10-29 00:00:00,LINK/USD,11.46500,11.81650,11.11000,11.27456,11.42418,545054.32687216,6145247.711579779,3529
1603843200,2020-10-28 00:00:00,LINK/USD,11.91797,12.15690,11.13269,11.46851,11.60208,641912.51826916,7361780.134895043,4930
