unix,date,symbol,open,high,low,close,vwap,Volume ETH,Volume USD,tradecount
1609232400,2020-12-29 09:00:00,ETH/USD,712.93,726.82,710.85,722.12,720.55,4787.57733799,3457205.347309339,1206
1609228800,2020-12-29 08:00:00,ETH/USD,708.47,716.07,708.47,713.15,711.68,2890.59566947,2061428.3016825304,954
1609225200,2020-12-29 07:00:00,ETH/USD,707.68,711.55,702.92,708.33,706.60,1145.60542019,811466.6872831826,745
1609221600,2020-12-29 06:00:00,ETH/USD,706.00,712.57,701.19,708.18,707.47,3841.69274291,2720609.9666740038,1257
1609218000,2020-12-29 05:00:00,ETH/USD,703.92,706.49,689.45,706.49,697.00,4222.31939055,2983026.4262296697,1620
1609214400,2020-12-29 04:00:00,ETH/USD,699.01,706.00,686.76,703.92,694.73,17513.99882415,12328454.052295666,2883
1609210800,2020-12-29 03:00:00,ETH/USD,720.03,720.03,699.11,699.44,707.27,7014.99562793,4906568.54199936,1736
1609207200,2020-12-29 02:00:00,ETH/USD,717.23,722.54,712.27,720.11,718.10,4279.77379172,3081907.905155489,1018
1609203600,2020-12-29 01:00:00,ETH/USD,718.70,718.70,706.20,717.31,712.06,7147.20070743,5126758.539446613,2016
1609200000,2020-12-29 00:00:00,ETH/USD,729.12,738.97,717.00,719.03,727.69,8963.45751417,6444994.856413655,2135
1609196400,2020-12-28 23:00:00,ETH/USD,725.67,733.00,723.73,729.12,729.46,4643.84871598,3385922.9757953375,1372
1609192800,2020-12-28 22:00:00,ETH/USD,726.86,733.35,710.00,725.79,723.01,12277.64685499,8910993.310883192,3079
1609189200,2020-12-28 21:00:00,ETH/USD,733.44,734.69,726.77,726.77,731.87,4419.87725552,3212234.1929942705,1112
1609185600,2020-12-28 20:00:00,ETH/USD,743.41,746.70,725.34,733.41,734.93,16601.88133626,12175985.790826447,3111
1609182000,2020-12-28 19:00:00,ETH/USD,736.70,746.71,736.70,743.39,743.66,5894.59269925,4381981.2666954575,1412
1609178400,2020-12-28 18:00:00,ETH/USD,738.59,743.98,735.50,736.35,739.55,6412.80817978,4722071.303181003,1469
1609174800,2020-12-28 17:00:00,ETH/USD,737.70,741.67,736.01,738.59,738.75,3883.65454157,2868428.4078581864,986
1609171200,2020-12-28 16:00:00,ETH/USD,728.85,745.69,725.09,737.70,739.90,13521.40954151,9974743.818771929,2911
1609167600,2020-12-28 15:00:00,ETH/USD,737.50,739.00,725.35,728.54,731.15,7215.05307376,5256454.76635711,1543
1609164000,2020-12-28 14:00:00,ETH/USD,726.86,739.00,725.00,736.93,732.60,4166.76556903,3070614.5507852775,1579
1609160400,2020-12-28 13:00:00,ETH/USD,724.95,729.31,715.01,726.74,722.92,4553.02505703,3308865.4299459825,1333
1609156800,2020-12-28 12:00:00,ETH/USD,730.89,734.80,720.51,725.00,727.17,3780.44854426,2740825.1945885,1484
1609153200,2020-12-28 11:00:00,ETH/USD,726.55,731.99,722.97,730.94,728.27,2235.39148708,1633937.0535662554,844
1609149600,2020-12-28 10:00:00,ETH/USD,731.92,734.19,719.36,726.55,726.82,5459.18004652,3966367.262799106,1576
1609146000,2020-12-28 09:00:00,ETH/USD,739.10,739.10,729.60,732.09,735.05,7461.45573416,5462457.128421195,1502
1609142400,2020-12-28 08:00:00,ETH/USD,733.30,739.80,724.02,739.71,732.01,10036.08521351,7423792.593285482,2335
1609138800,2020-12-28 07:00:00,ETH/USD,712.43,739.13,711.54,732.86,728.58,16262.96228261,11918474.538433565,3684
1609135200,2020-12-28 06:00:00,ETH/USD,712.54,713.89,706.07,712.57,709.73,4575.31484777,3260232.101075469,994
1609131600,2020-12-28 05:00:00,ETH/USD,703.86,712.96,702.27,712.54,708.38,5810.97379453,4140551.267554406,1190
1609128000,2020-12-28 04:00:00,ETH/USD,703.59,708.82,696.69,704.04,703.49,3947.34696556,2779090.157632862,990
1609124400,2020-12-28 03:00:00,ETH/USD,705.83,709.55,694.55,703.60,699.88,4890.50695852,3440960.696014672,1247
1609120800,2020-12-28 02:00:00,ETH/USD,705.66,708.81,698.74,705.84,702.97,3295.68475547,2326226.1278009447,996
1609117200,2020-12-28 01:00:00,ETH/USD,705.96,717.24,701.20,705.65,709.43,11175.71297346,7886141.859722049,2135
1609113600,2020-12-28 00:00:00,ETH/USD,683.49,714.00,680.39,706.87,704.96,15527.74470595,10976096.900294876,4061
1609110000,2020-12-27 23:00:00,ETH/USD,686.10,697.01,680.72,683.03,690.42,7988.86048793,5456631.379070828,1697
1609106400,2020-12-27 22:00:00,ETH/USD,677.82,686.98,676.41,686.10,681.33,6824.98604820,4682622.927670021,1900
1609102800,2020-12-27 21:00:00,ETH/USD,673.55,680.96,660.77,677.52,672.51,14191.18890904,9614814.309652781,3715
1609099200,2020-12-27 20:00:00,ETH/USD,705.12,705.12,673.43,673.55,686.44,12653.56690268,8522809.987300115,3082
1609095600,2020-12-27 19:00:00,ETH/USD,693.00,707.20,691.57,705.03,700.15,5529.19034576,3898245.0694711725,1830
1609092000,2020-12-27 18:00:00,ETH/USD,688.46,694.72,685.72,693.27,690.41,5824.60096119,4038021.108364191,1436
1609088400,2020-12-27 17:00:00,ETH/USD,694.75,694.98,682.00,688.45,687.75,6660.84364708,4585657.808832226,2151
1609084800,2020-12-27 16:00:00,ETH/USD,697.35,715.09,685.20,694.77,701.00,26385.60629751,18331927.687321022,6225
1609081200,2020-12-27 15:00:00,ETH/USD,684.10,697.35,678.51,697.15,690.94,19044.90652720,13277156.58543748,4156
1609077600,2020-12-27 14:00:00,ETH/USD,647.42,688.79,646.06,683.74,673.32,26346.87241027,18014410.54179801,5776
1609074000,2020-12-27 13:00:00,ETH/USD,634.50,647.42,633.41,647.42,637.25,4378.64074460,2834819.590868932,1251
1609070400,2020-12-27 12:00:00,ETH/USD,638.05,638.05,623.68,634.79,630.86,7355.34013241,4669096.362652543,2171
1609066800,2020-12-27 11:00:00,ETH/USD,645.54,649.63,624.26,638.05,635.04,9146.80046273,5836116.035244876,2361
1609063200,2020-12-27 10:00:00,ETH/USD,647.05,647.20,642.89,645.54,645.47,694.13053457,448089.0252863178,314
1609059600,2020-12-27 09:00:00,ETH/USD,644.18,647.55,640.54,647.07,643.23,3062.27346118,1981505.288525743,743
1609056000,2020-12-27 08:00:00,ETH/USD,649.69,653.32,642.50,644.08,648.66,2766.25203004,1781687.6075081634,877
1609052400,2020-12-27 07:00:00,ETH/USD,651.21,653.19,646.66,649.60,650.92,4186.10665433,2719294.8826527684,717
1609048800,2020-12-27 06:00:00,ETH/USD,645.60,654.87,645.59,651.20,650.64,4505.09545914,2933718.162991968,1162
1609045200,2020-12-27 05:00:00,ETH/USD,642.88,646.74,642.64,645.87,644.50,1780.15750832,1149750.3298986384,341
1609041600,2020-12-27 04:00:00,ETH/USD,642.80,644.20,642.00,642.09,643.63,1880.54562675,1207479.5414799077,414
1609038000,2020-12-27 03:00:00,ETH/USD,645.59,646.26,640.42,642.83,643.35,2413.08946361,1551206.2998924165,573
1609034400,2020-12-27 02:00:00,ETH/USD,641.15,652.01,639.96,645.58,647.66,8456.13726629,5459113.096371498,1687
1609030800,2020-12-27 01:00:00,ETH/USD,637.93,643.95,637.67,641.01,641.52,3854.58736788,2470829.0486847586,977
1609027200,2020-12-27 00:00:00,ETH/USD,636.33,642.07,634.96,637.62,639.62,3280.64608753,2091805.5583308786,846
1609023600,2020-12-26 23:00:00,ETH/USD,633.76,638.89,630.40,635.95,634.70,3910.67543560,2486994.04326982,1112
1609020000,2020-12-26 22:00:00,ETH/USD,647.06,647.67,628.00,633.99,636.70,9005.20452013,5709209.613717219,2501
1609016400,2020-12-26 21:00:00,ETH/USD,648.31,651.99,645.26,646.98,649.84,8402.15029983,5436023.200984013,1705
1609012800,2020-12-26 20:00:00,ETH/USD,645.19,650.00,642.00,648.57,647.21,3615.84524420,2345128.750030794,1042
1609009200,2020-12-26 19:00:00,ETH/USD,641.80,646.11,641.51,645.01,643.91,2196.98360041,1417076.3921004538,639
1609005600,2020-12-26 18:00:00,ETH/USD,642.84,646.30,639.75,641.81,642.73,3974.85770199,2551103.4217142016,858
1609002000,2020-12-26 17:00:00,ETH/USD,646.98,647.97,641.49,642.88,644.15,4789.19039963,3078874.7241141344,1144
1608998400,2020-12-26 16:00:00,ETH/USD,628.52,649.00,627.61,646.98,641.39,13039.53243889,8436316.697313054,2811
1608994800,2020-12-26 15:00:00,ETH/USD,629.71,630.80,626.32,628.50,628.65,2179.45518690,1369787.58496665,774
1608991200,2020-12-26 14:00:00,ETH/USD,622.95,632.71,621.00,629.62,628.93,3225.71388084,2030973.973654481,900
1608987600,2020-12-26 13:00:00,ETH/USD,624.83,626.08,620.71,622.45,623.41,638.23343038,397268.398740031,257
1608984000,2020-12-26 12:00:00,ETH/USD,622.57,627.09,620.02,625.10,623.04,823.09041900,514513.8209169,355
1608980400,2020-12-26 11:00:00,ETH/USD,618.90,623.46,616.03,622.47,620.98,687.34181677,427849.66068482195,332
1608976800,2020-12-26 10:00:00,ETH/USD,622.67,623.69,615.50,618.07,618.94,1320.04213202,815878.4405376015,441
1608973200,2020-12-26 09:00:00,ETH/USD,627.09,627.36,620.08,622.65,622.64,996.37596181,620393.4926209965,422
1608969600,2020-12-26 08:00:00,ETH/USD,624.73,630.77,623.92,627.79,628.11,1563.94688167,981830.2128436093,421
1608966000,2020-12-26 07:00:00,ETH/USD,628.60,628.60,622.33,624.96,625.91,1118.55538726,699052.3748220097,389
1608962400,2020-12-26 06:00:00,ETH/USD,626.23,629.42,625.30,628.60,627.64,625.48244628,393178.265731608,242
1608958800,2020-12-26 05:00:00,ETH/USD,630.06,630.89,626.15,626.36,628.28,2623.54548057,1643283.9472098253,541
1608955200,2020-12-26 04:00:00,ETH/USD,633.60,633.60,630.04,630.06,631.82,1495.25306623,942099.1469088738,471
1608951600,2020-12-26 03:00:00,ETH/USD,625.50,636.39,625.50,633.59,632.56,4053.84418771,2568475.138891179,1131
1608948000,2020-12-26 02:00:00,ETH/USD,627.85,629.54,625.27,625.51,627.35,1687.85447147,1055769.8504491996,384
1608944400,2020-12-26 01:00:00,ETH/USD,625.33,629.00,621.35,627.84,625.05,2043.33582246,1282887.9627732865,549
1608940800,2020-12-26 00:00:00,ETH/USD,626.77,628.63,624.00,625.33,625.73,2489.06737527,1556488.501777589,712
1608937200,2020-12-25 23:00:00,ETH/USD,621.89,627.87,620.72,626.83,625.14,4806.17106460,3012652.208423218,1094
1608933600,2020-12-25 22:00:00,ETH/USD,618.88,622.39,618.00,621.92,620.60,776.78592917,483098.70506940637,424
1608930000,2020-12-25 21:00:00,ETH/USD,620.22,621.59,616.40,618.92,618.41,794.29250237,491603.51556684036,367
1608926400,2020-12-25 20:00:00,ETH/USD,619.46,621.10,616.07,620.65,618.44,1111.66192988,689952.9767800219,436
1608922800,2020-12-25 19:00:00,ETH/USD,618.17,621.82,614.97,619.00,618.04,1872.24633877,1158920.48369863,458
1608919200,2020-12-25 18:00:00,ETH/USD,615.13,619.30,613.39,617.90,615.81,1997.87297473,1234485.711085667,629
1608915600,2020-12-25 17:00:00,ETH/USD,613.05,617.28,608.25,615.00,612.41,2571.17120924,1581270.2936826,1032
1608912000,2020-12-25 16:00:00,ETH/USD,613.10,623.99,611.53,613.05,618.73,3364.29084790,2062478.5043050947,1205
1608908400,2020-12-25 15:00:00,ETH/USD,618.78,622.99,612.37,613.27,618.69,2589.40735351,1588005.8476870777,903
1608904800,2020-12-25 14:00:00,ETH/USD,628.18,628.89,614.77,619.00,620.68,5100.80290510,3157396.9982569003,1219
1608901200,2020-12-25 13:00:00,ETH/USD,625.27,628.52,625.00,628.21,626.82,1023.08681787,642713.3698541127,421
1608897600,2020-12-25 12:00:00,ETH/USD,629.49,631.67,625.28,625.43,627.89,2142.33130480,1339878.267961064,691
1608894000,2020-12-25 11:00:00,ETH/USD,625.60,633.33,623.31,629.41,629.16,3363.13493510,2116790.759501291,1163
1608890400,2020-12-25 10:00:00,ETH/USD,623.00,625.60,619.34,625.60,623.10,1554.91232432,972753.150094592,520
1608886800,2020-12-25 09:00:00,ETH/USD,616.88,625.00,616.52,623.20,621.84,2486.08848121,1549330.341490072,807
1608883200,2020-12-25 08:00:00,ETH/USD,612.60,620.00,612.60,616.76,617.09,3124.76302435,1927228.8428981057,893
1608879600,2020-12-25 07:00:00,ETH/USD,613.87,613.87,609.69,612.50,611.20,1136.11251459,695868.915186375,419
1608876000,2020-12-25 06:00:00,ETH/USD,609.05,615.44,607.93,613.87,612.28,1634.67417793,1003477.4376058892,525
1608872400,2020-12-25 05:00:00,ETH/USD,608.75,609.91,605.88,608.48,608.05,635.01087558,386391.4175729184,246
1608868800,2020-12-25 04:00:00,ETH/USD,605.21,609.10,604.54,608.68,607.52,976.14754833,594161.4897175044,296
1608865200,2020-12-25 03:00:00,ETH/USD,608.31,610.22,603.92,606.02,607.28,1592.28602865,964957.1790824729,374
1608861600,2020-12-25 02:00:00,ETH/USD,611.75,612.37,608.47,608.83,610.18,1039.49425937,632875.2899322371,405
1608858000,2020-12-25 01:00:00,ETH/USD,611.45,613.92,609.64,611.75,611.62,1592.74947412,974364.49079291,432
1608854400,2020-12-25 00:00:00,ETH/USD,612.31,615.78,608.14,611.60,611.35,1885.69293961,1153289.801865476,765
1608850800,2020-12-24 23:00:00,ETH/USD,612.73,615.14,609.12,612.49,611.66,3867.34150627,2368707.9991753125,1182
1608847200,2020-12-24 22:00:00,ETH/USD,604.91,614.60,604.39,612.75,611.01,3448.53754500,2113091.3806987503,1004
1608843600,2020-12-24 21:00:00,ETH/USD,604.51,609.99,603.58,605.33,606.64,4518.81785627,2735376.0129359197,967
1608840000,2020-12-24 20:00:00,ETH/USD,594.78,605.92,593.21,604.22,600.30,1290.05469005,779476.8448220111,620
1608836400,2020-12-24 19:00:00,ETH/USD,594.86,596.99,593.53,594.15,595.50,1815.08598682,1078433.339069103,485
1608832800,2020-12-24 18:00:00,ETH/USD,594.97,596.09,592.53,594.67,594.47,845.35652428,502708.16429358756,340
1608829200,2020-12-24 17:00:00,ETH/USD,588.41,594.96,586.65,594.70,590.63,1130.93227276,672565.422610372,340
1608825600,2020-12-24 16:00:00,ETH/USD,593.44,593.49,586.44,588.00,590.21,2026.01846678,1191298.8584666399,541
1608822000,2020-12-24 15:00:00,ETH/USD,589.99,593.88,589.22,593.10,590.73,1415.76856586,839692.3364115661,454
1608818400,2020-12-24 14:00:00,ETH/USD,597.30,599.64,588.38,589.80,594.44,2143.16922007,1264041.205997286,713
1608814800,2020-12-24 13:00:00,ETH/USD,582.73,597.51,581.64,597.30,590.10,2960.91383542,1768553.8338963657,811
1608811200,2020-12-24 12:00:00,ETH/USD,582.99,584.71,577.94,583.05,580.37,794.33604525,463137.63118301245,404
1608807600,2020-12-24 11:00:00,ETH/USD,577.46,583.76,574.66,582.74,579.33,1453.52747577,847028.6012302098,511
1608804000,2020-12-24 10:00:00,ETH/USD,585.15,585.72,577.45,577.45,580.04,1426.72683464,823863.4106628682,509
1608800400,2020-12-24 09:00:00,ETH/USD,584.69,585.05,581.12,585.05,582.88,1770.90316418,1036066.896203509,439
