unix,date,symbol,open,high,low,close,vwap,Volume DOT,Volume USD,tradecount
1603152000,2020-10-20 00:00:00,DOT/USD,3.9850,4.1453,3.8668,3.9129,3.9703,367543.40321836,1438160.5824531207,1718
1603065600,2020-10-19 00:00:00,DOT/USD,4.1121,4.1144,3.9600,3.9895,4.0383,228132.07145661,910132.8990761456,1135
1602979200,2020-10-18 00:00:00,DOT/USD,3.9607,4.1213,3.9589,4.1112,4.0668,178087.87709022,732154.8802933125,904
1602892800,2020-10-17 00:00:00,DOT/USD,3.9136,3.9838,3.8667,3.9680,3.9394,78769.79565308,312558.54915142147,538
1602806400,2020-10-16 00:00:00,DOT/USD,4.0814,4.1527,3.8104,3.9155,3.9456,377944.04570303,1479839.9109502141,1852
1602720000,2020-10-15 00:00:00,DOT/USD,4.1850,4.1850,4.0210,4.0955,4.1171,233914.82231770,957998.1548021404,1150
1602633600,2020-10-14 00:00:00,DOT/USD,4.2546,4.3705,4.0739,4.1955,4.2579,449618.71296429,1886375.3102416787,1579
1602547200,2020-10-13 00:00:00,DOT/USD,4.3178,4.3453,4.1301,4.2563,4.2490,324383.79068940,1380674.7283112933,1655
1602460800,2020-10-12 00:00:00,DOT/USD,4.2562,4.4444,4.1816,4.3076,4.3446,585342.28064851,2521420.4081215216,2819
1602374400,2020-10-11 00:00:00,DOT/USD,4.2599,4.3300,4.1665,4.2459,4.2473,285539.96755246,1212374.1482309897,1461
1602288000,2020-10-10 00:00:00,DOT/USD,4.2662,4.4800,4.2279,4.2391,4.3624,431439.26938976,1828914.2068701314,2079
1602201600,2020-10-09 00:00:00,DOT/USD,4.1070,4.3478,4.0111,4.2630,4.1956,549523.85129730,2342620.1780803897,2631
1602115200,2020-10-08 00:00:00,DOT/USD,3.8612,4.1769,3.6484,4.1206,3.9421,600737.08753249,2475397.242886378,2503
1602028800,2020-10-07 00:00:00,DOT/USD,3.7433,3.8829,3.6003,3.8584,3.7585,461060.44902623,1778955.636522806,2036
1601942400,2020-10-06 00:00:00,DOT/USD,4.1669,4.1811,3.6035,3.7536,3.8431,1058698.45344000,3973930.5148323844,3916
1601856000,2020-10-05 00:00:00,DOT/USD,4.1753,4.2407,4.1100,4.1647,4.1833,243637.84711159,1014678.5418656388,1306
1601769600,2020-10-04 00:00:00,DOT/USD,4.0678,4.1911,4.0190,4.1798,4.1049,352301.66978679,1472550.5193748248,1345
1601683200,2020-10-03 00:00:00,DOT/USD,4.1215,4.1299,4.0342,4.0676,4.0886,173738.54995426,706698.9257939479,903
1601596800,2020-10-02 00:00:00,DOT/USD,4.3381,4.3592,3.9100,4.1200,4.0627,777261.21526003,3202316.2068713238,3951
1601510400,2020-10-01 00:00:00,DOT/USD,4.3550,4.5820,4.2315,4.3478,4.3833,589022.80073160,2560953.333020851,2294
1601424000,2020-09-30 00:00:00,DOT/USD,4.4813,4.4813,4.2431,4.3475,4.3439,286882.29212149,1247220.7649981778,1448
1601337600,2020-09-29 00:00:00,DOT/USD,4.4230,4.4230,4.4230,4.4230,0.0000,0.00000000,0.0,0
1601251200,2020-09-28 00:00:00,DOT/USD,4.4230,4.4230,4.4230,4.4230,0.0000,0.00000000,0.0,0
1601164800,2020-09-27 00:00:00,DOT/USD,4.4230,4.4230,4.4230,4.4230,0.0000,0.00000000,0.0,0
1601078400,2020-09-26 00:00:00,DOT/USD,4.4230,4.4230,4.4230,4.4230,0.0000,0.00000000,0.0,0
1600992000,2020-09-25 00:00:00,DOT/USD,4.3927,4.6000,4.2469,4.4230,4.4062,617966.33006995,2733265.0778993885,3154
1600905600,2020-09-24 00:00:00,DOT/USD,4.0000,4.4725,3.9665,4.3878,4.2482,544348.97119585,2388494.4158131513,2872
1600819200,2020-09-23 00:00:00,DOT/USD,4.1682,4.3207,3.9383,4.0000,4.1042,723784.06811633,2895136.27246532,3205
1600732800,2020-09-22 00:00:00,DOT/USD,4.0714,4.2100,3.9000,4.1700,4.0686,558667.14786460,2329642.0065953815,2374
1600646400,2020-09-21 00:00:00,DOT/USD,4.6546,4.7043,3.9125,4.0551,4.1377,1399906.46387703,5676760.701667745,5685
