unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume USD,tradecount
1600819200,2020-09-23 00:00:00,ADA/USD,0.081546,0.082501,0.075540,0.076527,0.077758,9814909.94279565,751105.6131923227,1232
1600732800,2020-09-22 00:00:00,ADA/USD,0.079854,0.083206,0.078715,0.081547,0.080632,11142121.52553549,908606.5840428426,992
1600646400,2020-09-21 00:00:00,ADA/USD,0.089193,0.090215,0.077460,0.079894,0.081942,13199891.65120350,1054592.1435812525,2230
1600560000,2020-09-20 00:00:00,ADA/USD,0.091000,0.092219,0.087530,0.089416,0.089896,13636275.31737702,1219301.1937785835,1409
1600473600,2020-09-19 00:00:00,ADA/USD,0.090795,0.093134,0.090635,0.091400,0.091984,5078512.30570791,464176.02474170295,556
1600387200,2020-09-18 00:00:00,ADA/USD,0.094001,0.094001,0.090000,0.091098,0.091852,9077296.53691287,826923.5599196886,1034
1600300800,2020-09-17 00:00:00,ADA/USD,0.091432,0.094568,0.091005,0.094186,0.092925,6012367.93547107,566280.8863702782,868
1600214400,2020-09-16 00:00:00,ADA/USD,0.093014,0.093014,0.090000,0.091431,0.090829,8170427.05668537,747030.3162198,1263
1600128000,2020-09-15 00:00:00,ADA/USD,0.096623,0.097633,0.093000,0.093201,0.095865,3964065.54231158,369454.87260898156,766
1600041600,2020-09-14 00:00:00,ADA/USD,0.095050,0.097554,0.093024,0.096678,0.096097,9586129.69545149,926767.8466968592,1334
1599955200,2020-09-13 00:00:00,ADA/USD,0.097643,0.099826,0.092514,0.095081,0.095551,5616528.61621795,534025.1573586189,955
1599868800,2020-09-12 00:00:00,ADA/USD,0.096874,0.098794,0.094671,0.097709,0.096820,8792124.34988549,859069.6781029614,1071
1599782400,2020-09-11 00:00:00,ADA/USD,0.097201,0.097494,0.093241,0.096935,0.095597,5368458.69796376,520391.54388711706,986
1599696000,2020-09-10 00:00:00,ADA/USD,0.093317,0.099900,0.093317,0.097115,0.098214,23859080.50082088,2317074.60283722,2399
1599609600,2020-09-09 00:00:00,ADA/USD,0.091083,0.095794,0.089336,0.093289,0.093495,5181397.54327857,483367.3954149145,1234
