unix,date,symbol,open,high,low,close,vwap,Volume BCH,Volume USD,tradecount
1603929600,2020-10-29 00:00:00,BCH/USD,268.45,271.40,258.11,267.76,267.58,9505.15584552,2545100.529196435,3921
1603843200,2020-10-28 00:00:00,BCH/USD,264.41,280.60,259.40,268.45,271.23,8900.38685405,2389308.8509697225,5793
1603756800,2020-10-27 00:00:00,BCH/USD,259.85,268.16,257.50,264.47,263.35,4529.42974557,1197898.284810898,3061
1603670400,2020-10-26 00:00:00,BCH/USD,271.47,273.25,253.10,259.65,258.38,10846.46496550,2816284.6282920744,2601
1603584000,2020-10-25 00:00:00,BCH/USD,276.20,276.20,268.51,271.27,272.04,3425.67463104,929282.7571622207,1595
1603497600,2020-10-24 00:00:00,BCH/USD,270.72,278.79,268.17,276.20,274.18,2482.26028907,685600.291841134,1298
1603411200,2020-10-23 00:00:00,BCH/USD,268.20,276.05,264.53,270.84,269.95,5172.03141858,1400792.9894082071,2528
1603324800,2020-10-22 00:00:00,BCH/USD,271.42,273.90,267.40,268.20,270.91,557.72970442,149583.10672544397,356
1603238400,2020-10-21 00:00:00,BCH/USD,240.81,264.44,240.37,259.19,256.86,13692.45352052,3548947.027983579,3649
1603152000,2020-10-20 00:00:00,BCH/USD,249.90,249.95,238.07,240.88,243.94,4951.16524754,1192636.684827435,1747
1603065600,2020-10-19 00:00:00,BCH/USD,249.40,252.50,245.40,249.90,249.04,3031.54935610,757584.18408939,1027
1602979200,2020-10-18 00:00:00,BCH/USD,244.61,250.89,244.01,249.40,247.63,2831.76804633,706242.950754702,965
1602892800,2020-10-17 00:00:00,BCH/USD,250.40,252.40,241.40,245.20,246.81,4330.48674728,1061835.3504330558,1680
1602806400,2020-10-16 00:00:00,BCH/USD,262.10,266.88,243.82,249.90,253.20,9530.68434019,2381718.016613481,4041
1602720000,2020-10-15 00:00:00,BCH/USD,259.20,265.20,255.80,262.10,261.25,5205.94510280,1364478.21144388,2640
1602633600,2020-10-14 00:00:00,BCH/USD,253.40,260.20,250.20,259.30,254.29,8807.03990460,2283665.4472627803,2110
