unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume USD,tradecount
1609120800,2020-12-28 02:00:00,ADA/USD,0.159512,0.160681,0.158411,0.158879,0.159313,929206.20098302,147631.35200598123,196
1609117200,2020-12-28 01:00:00,ADA/USD,0.157866,0.161496,0.157504,0.159128,0.159507,1602856.06177965,255059.2793988721,350
1609113600,2020-12-28 00:00:00,ADA/USD,0.154378,0.158569,0.152594,0.158173,0.156522,917095.19058355,145059.69758017187,311
1609110000,2020-12-27 23:00:00,ADA/USD,0.155427,0.157154,0.154060,0.154060,0.155927,1542698.64659521,237668.15349445806,220
1609106400,2020-12-27 22:00:00,ADA/USD,0.154784,0.156042,0.153000,0.155284,0.154541,989037.14629155,153581.64422473707,263
1609102800,2020-12-27 21:00:00,ADA/USD,0.153160,0.155881,0.152200,0.154712,0.154292,2050804.14333147,317284.01062309835,370
1609099200,2020-12-27 20:00:00,ADA/USD,0.161088,0.161088,0.152841,0.152964,0.156430,2948596.38303101,451029.0971339554,433
1609095600,2020-12-27 19:00:00,ADA/USD,0.158633,0.161823,0.158633,0.161028,0.160248,705363.65783370,113583.29909364504,264
1609092000,2020-12-27 18:00:00,ADA/USD,0.158837,0.160390,0.157368,0.158569,0.158628,468437.68416929,74279.69514104014,207
1609088400,2020-12-27 17:00:00,ADA/USD,0.161314,0.161395,0.156066,0.158824,0.158987,2113727.66310984,335710.6823657572,385
1609084800,2020-12-27 16:00:00,ADA/USD,0.163880,0.165940,0.159576,0.161268,0.163403,2916751.88909053,470378.7436498516,614
1609081200,2020-12-27 15:00:00,ADA/USD,0.158968,0.165660,0.158968,0.163879,0.162729,3067628.45590051,502719.88372451963,631
1609077600,2020-12-27 14:00:00,ADA/USD,0.154838,0.160749,0.154838,0.158579,0.159144,2576711.83491484,408612.38606896036,518
1609074000,2020-12-27 13:00:00,ADA/USD,0.153325,0.154838,0.152397,0.154838,0.153593,1292621.75055795,200146.96661289188,196
1609070400,2020-12-27 12:00:00,ADA/USD,0.152172,0.153704,0.149040,0.153412,0.151165,3167935.34698266,485999.2974513038,404
1609066800,2020-12-27 11:00:00,ADA/USD,0.155889,0.156446,0.150502,0.152631,0.153274,1229400.10188449,187644.5669507316,308
1609063200,2020-12-27 10:00:00,ADA/USD,0.156055,0.156385,0.155000,0.155971,0.155569,306554.21635806,47813.56767958298,87
1609059600,2020-12-27 09:00:00,ADA/USD,0.155016,0.156958,0.153920,0.156935,0.155353,991986.97996959,155677.4767015276,181
1609056000,2020-12-27 08:00:00,ADA/USD,0.159039,0.159476,0.155000,0.155295,0.157196,1402824.31793091,217851.60245308065,282
1609052400,2020-12-27 07:00:00,ADA/USD,0.160650,0.160650,0.158682,0.158871,0.159640,2136799.12643434,339475.41401575005,297
1609048800,2020-12-27 06:00:00,ADA/USD,0.160612,0.161740,0.160197,0.160790,0.161151,1314677.83933763,211387.0497870975,265
1609045200,2020-12-27 05:00:00,ADA/USD,0.159959,0.161300,0.159959,0.160696,0.160598,141915.70185897,22805.285625929042,92
1609041600,2020-12-27 04:00:00,ADA/USD,0.160000,0.160565,0.159350,0.159704,0.160202,164334.31381498,26244.84725350757,86
1609038000,2020-12-27 03:00:00,ADA/USD,0.161317,0.161731,0.159300,0.159830,0.160463,733481.79139469,117232.39471861332,175
1609034400,2020-12-27 02:00:00,ADA/USD,0.160111,0.163091,0.159767,0.161229,0.162099,565787.48478979,91221.35038517306,237
1609030800,2020-12-27 01:00:00,ADA/USD,0.158670,0.161450,0.158516,0.160035,0.160310,949307.02208685,151922.34927966906,256
