unix,date,symbol,open,high,low,close,vwap,Volume LTC,Volume USD,tradecount
1603324800,2020-10-22 00:00:00,LTC/USD,54.65,55.45,53.67,54.41,54.66,4458.41558805,242582.3921458005,372
1603238400,2020-10-21 00:00:00,LTC/USD,46.95,55.06,46.95,53.13,51.50,65769.44235156,3494330.4721383834,4542
1603152000,2020-10-20 00:00:00,LTC/USD,48.00,48.40,46.50,46.93,47.44,21741.35118990,1020321.6113420071,2035
1603065600,2020-10-19 00:00:00,LTC/USD,47.57,48.46,46.83,48.00,47.65,14809.55104384,710858.45010432,1567
1602979200,2020-10-18 00:00:00,LTC/USD,46.94,47.95,46.85,47.59,47.38,18072.74027150,860081.709520685,1058
1602892800,2020-10-17 00:00:00,LTC/USD,47.62,47.68,46.38,46.94,47.13,13515.19812519,634403.3999964185,1566
1602806400,2020-10-16 00:00:00,LTC/USD,49.43,49.88,45.42,47.62,47.33,41134.08336178,1958805.0496879637,3641
1602720000,2020-10-15 00:00:00,LTC/USD,49.81,50.18,48.88,49.57,49.63,14765.23435371,731912.6669134047,1320
1602633600,2020-10-14 00:00:00,LTC/USD,49.93,51.06,49.34,49.82,50.10,15399.71649305,767213.8756837511,1216
1602547200,2020-10-13 00:00:00,LTC/USD,50.62,50.67,48.90,49.95,49.93,33293.89317014,1663029.963848493,1570
1602460800,2020-10-12 00:00:00,LTC/USD,50.49,51.54,49.33,50.62,50.50,30400.04898015,1538850.479375193,1637
1602374400,2020-10-11 00:00:00,LTC/USD,48.86,51.23,48.74,50.51,50.15,26328.92914247,1329874.2109861595,1482
1602288000,2020-10-10 00:00:00,LTC/USD,47.88,50.49,47.86,48.85,49.45,27961.53604308,1365921.035704458,1782
1602201600,2020-10-09 00:00:00,LTC/USD,47.27,48.17,46.66,47.80,47.40,19799.03165446,946393.7130831879,1495
1602115200,2020-10-08 00:00:00,LTC/USD,46.61,47.50,45.52,47.25,46.72,16120.31153224,761684.7198983401,1253
1602028800,2020-10-07 00:00:00,LTC/USD,45.97,46.90,45.07,46.61,46.08,9874.63471504,460256.72406801436,1230
1601942400,2020-10-06 00:00:00,LTC/USD,46.38,48.20,45.57,46.01,46.43,22774.06715958,1047834.8300122758,1808
1601856000,2020-10-05 00:00:00,LTC/USD,46.71,47.05,45.57,46.37,46.24,16300.04965110,755833.302321507,1220
1601769600,2020-10-04 00:00:00,LTC/USD,45.57,47.03,45.36,46.72,46.25,16045.80297318,749659.9149069695,1098
1601683200,2020-10-03 00:00:00,LTC/USD,44.96,45.97,44.79,45.53,45.46,12026.80074199,547580.2377828048,693
1601596800,2020-10-02 00:00:00,LTC/USD,46.05,46.96,43.30,44.92,45.09,28177.11690784,1265716.0915001729,2137
1601510400,2020-10-01 00:00:00,LTC/USD,46.31,48.47,45.22,46.25,46.70,35527.24372327,1643135.0222012377,2228
1601424000,2020-09-30 00:00:00,LTC/USD,45.66,46.65,45.48,46.24,46.00,17335.47048508,801592.1552300992,1106
1601337600,2020-09-29 00:00:00,LTC/USD,46.02,46.02,46.02,46.02,0.00,0.00000000,0.0,0
1601251200,2020-09-28 00:00:00,LTC/USD,46.02,46.02,46.02,46.02,0.00,0.00000000,0.0,0
1601164800,2020-09-27 00:00:00,LTC/USD,46.02,46.02,46.02,46.02,0.00,0.00000000,0.0,0
1601078400,2020-09-26 00:00:00,LTC/USD,46.02,46.02,46.02,46.02,0.00,0.00000000,0.0,0
1600992000,2020-09-25 00:00:00,LTC/USD,45.01,46.53,44.01,46.02,45.37,15975.74220971,735203.6564908543,1186
1600905600,2020-09-24 00:00:00,LTC/USD,42.92,45.21,42.61,44.96,44.21,18767.50049496,843786.8222534016,1310
1600819200,2020-09-23 00:00:00,LTC/USD,44.44,45.10,42.30,42.89,43.81,22379.84279975,959871.4576812775,1639
1600732800,2020-09-22 00:00:00,LTC/USD,43.17,44.78,42.80,44.49,43.75,22737.70386532,1011600.4449680868,1641
1600646400,2020-09-21 00:00:00,LTC/USD,46.92,47.65,41.71,43.15,44.13,41785.23330075,1803032.8169273625,2841
1600560000,2020-09-20 00:00:00,LTC/USD,48.51,48.51,46.26,47.08,47.18,13613.24509137,640911.5789016995,1013
1600473600,2020-09-19 00:00:00,LTC/USD,48.54,48.99,48.04,48.50,48.43,9552.56992063,463299.641150555,791
1600387200,2020-09-18 00:00:00,LTC/USD,48.87,49.04,47.57,48.54,48.37,16061.99772923,779649.3697768241,1171
1600300800,2020-09-17 00:00:00,LTC/USD,47.73,49.57,47.68,48.89,48.59,16512.48043040,807295.1682422559,1498
1600214400,2020-09-16 00:00:00,LTC/USD,48.19,48.76,46.98,47.73,47.97,27210.89729147,1298776.1277218629,2007
1600128000,2020-09-15 00:00:00,LTC/USD,49.16,50.31,48.18,48.31,49.00,32381.53022576,1564351.7252064657,2143
1600041600,2020-09-14 00:00:00,LTC/USD,48.16,49.61,47.16,49.09,48.33,23690.74515984,1162978.6798965456,1909
1599955200,2020-09-13 00:00:00,LTC/USD,50.84,50.94,47.30,48.17,49.13,23571.98966417,1135462.742123069,1572
1599868800,2020-09-12 00:00:00,LTC/USD,48.98,51.31,48.43,50.82,49.86,14343.96994427,728960.5525678014,1087
1599782400,2020-09-11 00:00:00,LTC/USD,48.70,49.35,47.41,48.98,48.51,14144.59178388,692802.1055744423,1326
1599696000,2020-09-10 00:00:00,LTC/USD,47.88,49.44,47.88,48.70,48.73,23786.16907423,1158386.433915001,1994
1599609600,2020-09-09 00:00:00,LTC/USD,47.39,48.86,46.59,47.86,47.82,17964.19201952,859766.2300542272,1319
1599523200,2020-09-08 00:00:00,LTC/USD,48.90,49.31,46.05,47.48,47.50,26635.36902033,1264647.3210852684,2343
1599436800,2020-09-07 00:00:00,LTC/USD,47.91,49.11,45.20,48.82,47.30,27031.78349985,1319691.670462677,1772
1599350400,2020-09-06 00:00:00,LTC/USD,47.56,49.10,46.32,47.92,48.03,26643.03728991,1276734.3469324873,1757
1599264000,2020-09-05 00:00:00,LTC/USD,50.41,51.29,45.40,47.77,48.02,64940.02408314,3102184.950451598,4221
1599177600,2020-09-04 00:00:00,LTC/USD,47.49,52.48,46.37,50.38,49.37,63119.25609978,3179948.122306917,5708
1599091200,2020-09-03 00:00:00,LTC/USD,58.09,58.63,45.53,47.50,53.28,92382.22916380,4388155.8852805,6310
1599004800,2020-09-02 00:00:00,LTC/USD,62.73,63.11,56.67,58.10,59.01,55292.51567062,3212495.160463022,4570
1598918400,2020-09-01 00:00:00,LTC/USD,61.05,64.36,59.56,62.74,62.70,47873.77353808,3003600.5517791393,3560
1598832000,2020-08-31 00:00:00,LTC/USD,62.88,63.65,60.57,60.97,61.82,25968.86120029,1583321.4673816813,2314
1598745600,2020-08-30 00:00:00,LTC/USD,57.05,62.91,57.00,62.91,60.34,36471.18207642,2294402.064427582,2805
1598659200,2020-08-29 00:00:00,LTC/USD,57.44,58.26,56.99,56.99,57.58,20177.54716526,1149918.4129481674,1415
1598572800,2020-08-28 00:00:00,LTC/USD,56.15,58.23,55.41,57.41,57.07,29539.52911718,1695864.3666173038,2121
1598486400,2020-08-27 00:00:00,LTC/USD,58.15,59.27,53.70,56.15,56.48,39585.23785634,2222711.1056334907,3118
1598400000,2020-08-26 00:00:00,LTC/USD,58.34,59.20,57.00,58.10,58.22,28107.51107274,1633046.393326194,2397
1598313600,2020-08-25 00:00:00,LTC/USD,62.28,62.29,56.70,58.33,59.11,60109.15373322,3506166.9372587227,3724
1598227200,2020-08-24 00:00:00,LTC/USD,60.69,62.98,60.00,62.10,61.78,29347.46185423,1822477.3811476831,1802
1598140800,2020-08-23 00:00:00,LTC/USD,60.25,61.63,58.10,60.59,59.63,26267.98103859,1591576.971128168,1709
1598054400,2020-08-22 00:00:00,LTC/USD,59.05,60.51,57.78,60.26,59.27,37218.98757337,2242816.1911712764,2294
1597968000,2020-08-21 00:00:00,LTC/USD,62.86,63.91,58.85,59.13,61.14,52885.11996981,3127097.1438148655,3414
1597881600,2020-08-20 00:00:00,LTC/USD,62.24,63.76,61.04,62.86,62.58,46609.57942439,2929878.1626171554,2532
1597795200,2020-08-19 00:00:00,LTC/USD,65.79,67.14,58.90,62.09,62.28,145228.71798716,9017251.099822765,6992
1597708800,2020-08-18 00:00:00,LTC/USD,67.32,68.42,63.52,65.47,66.51,131382.25769382,8601596.411214394,5630
1597622400,2020-08-17 00:00:00,LTC/USD,63.98,68.95,61.34,67.35,65.16,123983.06813487,8350259.638883494,6880
1597536000,2020-08-16 00:00:00,LTC/USD,60.03,64.65,58.12,63.93,61.63,52119.73836657,3332014.8737748205,4120
1597449600,2020-08-15 00:00:00,LTC/USD,56.91,60.88,56.54,59.91,58.50,62045.36307060,3717137.7015596456,3852
1597363200,2020-08-14 00:00:00,LTC/USD,57.27,57.94,55.90,56.85,56.83,52391.54499729,2978459.3330959366,2772
1597276800,2020-08-13 00:00:00,LTC/USD,54.56,57.36,51.98,57.25,54.86,36732.37048081,2102928.2100263727,3511
1597190400,2020-08-12 00:00:00,LTC/USD,54.11,55.09,51.65,54.50,54.23,28202.54815032,1537038.87419244,3515
1597104000,2020-08-11 00:00:00,LTC/USD,58.38,59.73,52.50,54.11,56.10,43676.92741419,2363358.542381821,4207
1597017600,2020-08-10 00:00:00,LTC/USD,57.09,59.41,56.61,58.31,58.12,24269.68643131,1415165.4158096863,2028
1596931200,2020-08-09 00:00:00,LTC/USD,58.45,58.75,56.10,57.01,57.39,15542.77433732,886093.5649706131,1579
1596844800,2020-08-08 00:00:00,LTC/USD,57.20,58.49,56.52,58.44,57.81,23162.05374270,1353590.420723388,1848
1596758400,2020-08-07 00:00:00,LTC/USD,59.00,61.04,54.75,57.22,58.39,37520.88350797,2146944.9543260434,3250
1596672000,2020-08-06 00:00:00,LTC/USD,58.89,60.73,57.73,59.08,59.32,29042.15741969,1715810.660355285,2168
1596585600,2020-08-05 00:00:00,LTC/USD,57.73,59.84,56.85,58.89,58.63,25487.83447376,1500978.5721597264,2250
1596499200,2020-08-04 00:00:00,LTC/USD,58.80,59.59,56.39,57.68,57.80,29998.13618215,1730292.4949864119,2521
1596412800,2020-08-03 00:00:00,LTC/USD,56.78,60.03,55.76,58.54,58.23,36352.73938122,2128089.363376619,3052
1596326400,2020-08-02 00:00:00,LTC/USD,61.76,65.32,51.56,56.78,58.29,112464.30823643,6385723.421664496,7545
1596240000,2020-08-01 00:00:00,LTC/USD,58.26,62.32,57.60,61.83,60.29,53445.55640512,3304538.752528569,3962
