unix,date,symbol,open,high,low,close,vwap,Volume DOT,Volume USD,tradecount
1609012800,2020-12-26 20:00:00,DOT/USD,5.2071,5.2401,5.1594,5.2100,5.2115,8820.24340373,45953.46813343331,73
1609009200,2020-12-26 19:00:00,DOT/USD,5.2376,5.2537,5.2071,5.2085,5.2249,4390.72473682,22869.08979172697,40
1609005600,2020-12-26 18:00:00,DOT/USD,5.2257,5.2575,5.2231,5.2280,5.2463,15001.03532894,78425.41269969833,65
1609002000,2020-12-26 17:00:00,DOT/USD,5.2614,5.2614,5.2012,5.2291,5.2201,27951.34273441,146160.3662925033,135
1608998400,2020-12-26 16:00:00,DOT/USD,5.1521,5.2669,5.1509,5.2589,5.2364,12605.95534268,66293.45855161984,136
1608994800,2020-12-26 15:00:00,DOT/USD,5.1540,5.1600,5.1082,5.1528,5.1375,6397.72469167,32966.19579123717,64
1608991200,2020-12-26 14:00:00,DOT/USD,5.1166,5.1902,5.1156,5.1516,5.1331,24222.33653922,124783.78891544575,88
1608987600,2020-12-26 13:00:00,DOT/USD,5.1657,5.1657,5.1119,5.1298,5.1278,3401.18623931,17447.40517041244,42
1608984000,2020-12-26 12:00:00,DOT/USD,5.1753,5.1753,5.1384,5.1575,5.1517,2184.33866857,11265.726683149776,30
1608980400,2020-12-26 11:00:00,DOT/USD,5.1321,5.1745,5.0890,5.1745,5.1343,5548.60015626,28711.231508567373,53
1608976800,2020-12-26 10:00:00,DOT/USD,5.1414,5.1414,5.0943,5.1172,5.1024,8424.87186690,43111.754317300685,59
1608973200,2020-12-26 09:00:00,DOT/USD,5.1717,5.1717,5.1257,5.1520,5.1445,926.33269174,4772.46602784448,19
1608969600,2020-12-26 08:00:00,DOT/USD,5.1474,5.2179,5.1474,5.1983,5.1892,2534.78363978,13176.565794668373,27
1608966000,2020-12-26 07:00:00,DOT/USD,5.1850,5.1868,5.1400,5.1400,5.1584,4514.17236386,23202.845950240397,34
1608962400,2020-12-26 06:00:00,DOT/USD,5.1778,5.1983,5.1743,5.1876,5.1822,1110.59536957,5761.324539181332,23
1608958800,2020-12-26 05:00:00,DOT/USD,5.2240,5.2240,5.1828,5.1828,5.2032,1013.10454929,5250.718258060212,19
1608955200,2020-12-26 04:00:00,DOT/USD,5.2098,5.2451,5.2071,5.2215,5.2265,14502.81775792,75726.46292297928,59
1608951600,2020-12-26 03:00:00,DOT/USD,5.2254,5.2622,5.2168,5.2217,5.2338,6979.58386495,36445.29306760942,65
1608948000,2020-12-26 02:00:00,DOT/USD,5.2218,5.2429,5.2095,5.2098,5.2272,6905.78581662,35977.76294742688,49
1608944400,2020-12-26 01:00:00,DOT/USD,5.2275,5.2307,5.1809,5.2213,5.2020,5901.64426677,30814.255210086205,61
1608940800,2020-12-26 00:00:00,DOT/USD,5.2006,5.2800,5.1764,5.2444,5.2524,43467.30966193,227959.95879102568,159
1608937200,2020-12-25 23:00:00,DOT/USD,5.1640,5.2236,5.1444,5.2165,5.1795,20302.07768137,105905.7882248666,104
1608933600,2020-12-25 22:00:00,DOT/USD,5.1226,5.1708,5.1180,5.1708,5.1509,15564.71263862,80482.01611177629,61
1608930000,2020-12-25 21:00:00,DOT/USD,5.1593,5.1593,5.1211,5.1274,5.1341,8087.55905800,41468.150313989194,50
1608926400,2020-12-25 20:00:00,DOT/USD,5.1606,5.1630,5.1389,5.1458,5.1492,4099.44854063,21094.942300373856,40
1608922800,2020-12-25 19:00:00,DOT/USD,5.1218,5.1582,5.1218,5.1535,5.1256,3580.16663415,18450.388749092024,24
1608919200,2020-12-25 18:00:00,DOT/USD,5.0964,5.1351,5.0742,5.1211,5.0916,508.69731586,2605.089824250646,21
1608915600,2020-12-25 17:00:00,DOT/USD,5.0800,5.1100,5.0641,5.0887,5.0863,5143.09234714,26171.65402689132,63
1608912000,2020-12-25 16:00:00,DOT/USD,5.0972,5.1651,5.0900,5.0916,5.1291,20005.25669214,101858.76497370002,192
1608908400,2020-12-25 15:00:00,DOT/USD,5.1500,5.1666,5.0901,5.1040,5.1322,7996.48603994,40814.064747853765,64
1608904800,2020-12-25 14:00:00,DOT/USD,5.2101,5.2101,5.0996,5.1357,5.1384,30365.15745936,155946.33916403516,219
1608901200,2020-12-25 13:00:00,DOT/USD,5.1906,5.2273,5.1862,5.2126,5.2201,19651.28760091,102434.30174850347,119
1608897600,2020-12-25 12:00:00,DOT/USD,5.2453,5.2700,5.1817,5.1916,5.2566,47007.37453146,244043.48561752777,134
1608894000,2020-12-25 11:00:00,DOT/USD,5.2054,5.2590,5.1801,5.2490,5.2335,123116.41614697,646238.0683554455,429
1608890400,2020-12-25 10:00:00,DOT/USD,5.1976,5.2204,5.1696,5.2114,5.2144,52072.26028459,271369.37724711234,96
1608886800,2020-12-25 09:00:00,DOT/USD,5.1501,5.2100,5.1501,5.2009,5.2042,82777.60142918,430518.0272730222,162
1608883200,2020-12-25 08:00:00,DOT/USD,5.1361,5.1601,5.1361,5.1466,5.1480,2311.48117224,11896.269001050385,39
1608879600,2020-12-25 07:00:00,DOT/USD,5.1148,5.1148,5.0815,5.0930,5.0947,1347.55492909,6863.097253855371,18
1608876000,2020-12-25 06:00:00,DOT/USD,5.1159,5.1500,5.0893,5.1405,5.1228,3703.70458703,19038.893429627715,33
1608872400,2020-12-25 05:00:00,DOT/USD,5.0786,5.1079,5.0642,5.1063,5.0740,2143.45017201,10945.099613334663,24
1608868800,2020-12-25 04:00:00,DOT/USD,5.0458,5.0855,5.0458,5.0707,5.0681,38464.89724936,195043.95448232978,92
1608865200,2020-12-25 03:00:00,DOT/USD,5.0938,5.0938,5.0445,5.0445,5.0695,7106.25713197,35847.51410222267,52
1608861600,2020-12-25 02:00:00,DOT/USD,5.0956,5.0997,5.0677,5.0946,5.0802,10900.59488855,55534.17071920683,48
1608858000,2020-12-25 01:00:00,DOT/USD,5.1080,5.1183,5.0934,5.0956,5.1061,5639.53514219,28736.815270543368,41
1608854400,2020-12-25 00:00:00,DOT/USD,5.1111,5.1198,5.0662,5.1198,5.1024,4668.41098341,23901.330552862517,67
1608850800,2020-12-24 23:00:00,DOT/USD,5.1834,5.1943,5.1059,5.1346,5.1612,50561.88573575,259615.05849878196,178
